,ID,Name,DateTime,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,IsPureBreed,Breed1,Breed2,IsPopularBreed,AnimalSize,IsGoodWithKids,AnimalTemperament,AnimalTrainability,AnimalGrooming,Color1,Color2,IsPureColor,HasName,AgeGroup,WeekYear,WeekDay,WorkingDay,DayYear,Month,Quarter,Year,ExitHour,ExitMinute,IsOpen,Holiday,Sex,Fertile
48,49,Chica,2015-07-27 13:06:00,1,Spayed Female,1460.0,1014,0,226,102,0,1,0,0,3,2,1,5,0,1,3,31,0,1,208,7,1,2015,13,6,1,0,1,0
49,50,Ire,2015-05-08 15:01:00,1,Intact Male,210.0,1055,0,234,58,0,4,1,1,1,1,9,-1,1,1,1,19,4,1,128,5,1,2015,15,1,1,0,0,1
50,51,Comet,2015-07-29 13:31:00,0,Intact Male,90.0,767,0,151,102,1,0,2,0,0,0,3,1,0,1,0,31,2,1,210,7,1,2015,13,31,1,0,0,1
51,52,Booch,2014-07-27 11:26:00,1,Spayed Female,3285.0,280,0,58,147,0,4,1,0,0,1,5,0,0,1,4,30,6,1,208,7,1,2014,11,26,1,0,1,0
52,53,Kodiak,2015-05-30 16:41:00,0,Neutered Male,60.0,775,0,155,102,1,0,2,0,0,0,0,-1,0,1,0,22,5,1,150,5,1,2015,16,41,1,0,0,0
53,54,Periwinkle,2014-10-07 16:08:00,0,Intact Female,30.0,775,0,155,102,1,0,2,0,0,0,3,1,0,1,0,41,1,1,280,10,2,2014,16,8,1,0,1,1
54,55,,2015-01-03 17:35:00,0,Unknown,1095.0,1515,0,346,102,1,0,2,0,0,0,1,0,0,0,2,1,5,1,3,1,0,2015,17,35,1,0,2,2
55,56,Stella,2015-10-12 16:50:00,0,Spayed Female,3285.0,775,0,155,102,1,0,2,0,0,0,0,1,0,1,4,42,0,1,285,10,2,2015,16,50,1,0,1,0
56,57,Tizoc,2016-01-27 17:51:00,1,Neutered Male,365.0,497,0,106,102,0,4,1,2,2,1,0,4,0,1,1,4,2,1,27,1,0,2016,17,51,1,0,0,0
57,58,,2015-06-30 12:22:00,0,Unknown,7.0,775,0,155,102,1,0,2,0,0,0,14,-1,1,0,0,27,1,1,181,6,1,2015,12,22,1,0,2,2
58,59,,2015-04-18 09:00:00,0,Intact Female,730.0,775,0,155,102,1,0,2,0,0,0,14,-1,1,0,2,16,5,1,108,4,1,2015,9,0,0,0,1,1
59,60,Charlie,2015-09-09 13:55:00,1,Neutered Male,60.0,1346,0,301,92,0,4,1,2,2,1,5,-1,1,1,0,37,2,1,252,9,2,2015,13,55,1,0,0,0
60,61,,2014-07-23 19:05:00,1,Neutered Male,730.0,1027,0,234,7,0,4,1,1,1,1,1,6,0,0,2,30,2,1,204,7,1,2014,19,5,1,0,0,0
61,62,Yellow,2014-11-18 11:55:00,1,Neutered Male,1460.0,1293,0,299,102,1,0,1,1,1,0,4,1,0,1,3,47,1,1,322,11,2,2014,11,55,1,0,0,0
62,63,Cooper,2014-03-05 11:49:00,0,Neutered Male,365.0,305,0,69,102,0,0,2,0,0,0,5,-1,1,1,1,10,2,1,64,3,0,2014,11,49,1,0,0,0
63,64,,2015-06-17 12:27:00,0,Intact Male,21.0,775,0,155,102,1,0,2,0,0,0,0,-1,0,0,0,25,2,1,168,6,1,2015,12,27,1,0,0,1
64,65,,2014-08-20 09:00:00,0,Intact Male,90.0,775,0,155,102,1,0,2,0,0,0,0,-1,0,0,0,34,2,1,232,8,2,2014,9,0,0,0,0,1
65,66,Bella,2014-10-18 18:06:00,1,Spayed Female,365.0,553,0,115,102,1,0,2,0,0,0,5,0,0,1,1,42,5,1,291,10,2,2014,18,6,1,0,1,0
66,67,Tiernee,2015-11-22 18:15:00,0,Spayed Female,90.0,775,0,155,102,1,0,2,0,0,0,14,-1,1,1,0,47,6,1,326,11,2,2015,18,15,1,0,1,0
67,68,Peanut,2014-06-26 12:11:00,1,Intact Female,4380.0,553,0,115,102,1,0,2,0,0,0,5,4,0,1,5,26,3,1,177,6,1,2014,12,11,1,0,1,1
68,69,Boris,2014-06-04 17:09:00,1,Neutered Male,730.0,378,0,77,102,1,3,1,1,1,1,3,1,0,1,2,23,2,1,155,6,1,2014,17,9,1,0,0,0
69,70,,2014-08-24 09:00:00,0,Intact Female,365.0,775,0,155,102,1,0,2,0,0,0,14,-1,1,0,1,34,6,1,236,8,2,2014,9,0,0,0,1,1
70,71,,2016-01-20 13:29:00,1,Intact Female,90.0,84,0,23,92,0,4,1,1,1,1,1,4,0,0,0,3,2,1,20,1,0,2016,13,29,1,0,1,1
71,72,Olive,2015-02-21 17:58:00,1,Spayed Female,60.0,471,0,102,102,0,3,1,0,0,1,0,1,0,1,0,8,5,1,52,2,0,2015,17,58,1,0,1,0
72,73,,2014-06-13 10:51:00,0,Unknown,7.0,775,0,155,102,1,0,2,0,0,0,15,5,0,0,0,24,4,1,164,6,1,2014,10,51,0,0,2,2
73,74,Rocky,2013-10-09 12:48:00,1,Neutered Male,730.0,553,0,115,102,1,0,2,0,0,0,0,-1,1,1,2,41,2,1,282,10,2,2013,12,48,1,0,0,0
74,75,,2015-08-21 16:59:00,0,Intact Female,21.0,772,0,153,102,1,0,2,0,0,0,8,1,0,0,0,34,4,1,233,8,2,2015,16,59,1,0,1,1
75,76,Calamity,2015-08-30 11:06:00,0,Intact Female,60.0,767,0,151,102,1,0,2,0,0,0,0,-1,0,1,0,35,6,1,242,8,2,2015,11,6,1,0,1,1
76,77,Daisy,2013-11-16 12:21:00,0,Spayed Female,60.0,772,0,153,102,1,0,2,0,0,0,14,-1,1,1,0,46,5,1,320,11,2,2013,12,21,1,0,1,0
77,78,,2015-06-17 09:00:00,0,Neutered Male,1095.0,775,0,155,102,1,0,2,0,0,0,5,-1,1,0,2,25,2,1,168,6,1,2015,9,0,0,0,0,0
78,79,Oreo,2014-08-04 14:13:00,1,Spayed Female,1095.0,1393,0,311,88,0,2,1,1,1,1,9,-1,1,1,2,32,0,1,216,8,2,2014,14,13,1,0,1,0
79,80,Zeus,2014-08-20 17:18:00,0,Neutered Male,30.0,774,1,154,102,1,0,2,0,0,0,0,1,0,1,0,34,2,1,232,8,2,2014,17,18,1,0,0,0
80,81,,2014-04-26 17:02:00,0,Intact Male,6.0,775,0,155,102,1,0,2,0,0,0,0,-1,0,0,0,17,5,1,116,4,1,2014,17,2,1,0,0,1
81,82,,2015-06-19 19:02:00,0,Unknown,7.0,775,0,155,102,1,0,2,0,0,0,3,1,0,0,0,25,4,1,170,6,1,2015,19,2,1,5,2,2
82,83,King,2015-02-15 17:30:00,1,Neutered Male,365.0,288,0,64,102,0,3,2,0,0,0,3,1,0,1,1,7,6,1,46,2,0,2015,17,30,1,0,0,0
83,84,,2014-07-05 12:42:00,0,Intact Male,14.0,775,0,155,102,1,0,2,0,0,0,1,0,0,0,0,27,5,1,186,7,1,2014,12,42,1,0,0,1
84,85,Bandit,2014-10-23 19:12:00,1,Neutered Male,2190.0,803,0,165,102,0,4,1,0,0,1,13,-1,1,1,3,43,3,1,296,10,2,2014,19,12,1,0,0,0
85,86,,2013-12-03 15:34:00,0,Intact Male,60.0,775,0,155,102,1,0,2,0,0,0,3,1,0,0,0,49,1,1,337,12,3,2013,15,34,1,0,0,1
86,87,Abby,2014-03-14 18:39:00,1,Intact Female,730.0,1293,0,299,102,1,0,1,1,1,0,0,1,0,1,2,11,4,1,73,3,0,2014,18,39,1,0,1,1
87,88,French Fry,2015-04-02 15:25:00,1,Spayed Female,365.0,1293,0,299,102,1,0,1,1,1,0,5,-1,0,1,1,14,3,1,92,4,1,2015,15,25,1,0,1,0
88,89,,2014-07-14 15:23:00,0,Intact Female,365.0,775,0,155,102,1,0,2,0,0,0,5,-1,0,0,1,29,0,1,195,7,1,2014,15,23,1,0,1,1
89,90,Lulu,2013-12-01 14:02:00,0,Spayed Female,90.0,1515,0,346,102,1,0,2,0,0,0,10,-1,0,1,0,48,6,1,335,12,3,2013,14,2,1,0,1,0
90,91,,2015-06-06 09:00:00,0,Intact Male,2190.0,775,0,155,102,1,0,2,0,0,0,0,1,0,0,3,23,5,1,157,6,1,2015,9,0,0,0,0,1
91,92,,2014-10-20 09:00:00,0,Intact Male,1095.0,775,0,155,102,1,0,2,0,0,0,5,-1,1,0,2,43,0,1,293,10,2,2014,9,0,0,0,0,1
92,93,Azul,2015-06-24 14:59:00,0,Spayed Female,60.0,767,0,151,102,1,0,2,0,0,0,3,-1,1,1,0,26,2,1,175,6,1,2015,14,59,1,0,1,0
93,94,Kiko,2014-05-24 15:30:00,1,Neutered Male,1095.0,553,0,115,102,1,0,2,0,0,0,5,-1,1,1,2,21,5,1,144,5,1,2014,15,30,1,0,0,0
94,95,,2015-08-24 09:00:00,0,Spayed Female,730.0,775,0,155,102,1,0,2,0,0,0,10,-1,1,0,2,35,0,1,236,8,2,2015,9,0,0,0,1,0
95,96,Marty,2014-06-01 19:19:00,1,Neutered Male,730.0,980,0,223,102,0,2,1,0,3,1,13,-1,1,1,2,22,6,1,152,6,1,2014,19,19,1,0,0,0
96,97,Sonora,2015-10-25 15:05:00,1,Spayed Female,1095.0,1023,0,235,102,1,4,1,1,1,1,1,-1,1,1,2,43,6,1,298,10,2,2015,15,5,1,0,1,0
97,98,,2014-08-16 18:30:00,0,Intact Male,21.0,775,0,155,102,1,0,2,0,0,0,0,-1,0,0,0,33,5,1,228,8,2,2014,18,30,1,0,0,1
98,99,Patches,2013-10-02 16:48:00,0,Intact Female,60.0,772,0,153,102,1,0,2,0,0,0,10,-1,1,1,0,40,2,1,275,10,2,2013,16,48,1,0,1,1
99,100,Sophie,2014-10-21 16:23:00,1,Spayed Female,1095.0,208,0,40,102,0,2,1,2,2,1,20,-1,1,1,2,43,1,1,294,10,2,2014,16,23,1,0,1,0
100,101,Tyrus,2014-05-05 15:11:00,0,Neutered Male,60.0,775,0,155,102,1,0,2,0,0,0,5,-1,1,1,0,19,0,1,125,5,1,2014,15,11,1,0,0,0
101,102,Daisy,2015-07-18 19:44:00,0,Spayed Female,365.0,775,0,155,102,1,0,2,0,0,0,5,-1,1,1,1,29,5,1,199,7,1,2015,19,44,1,0,1,0
102,103,Chester,2013-12-07 11:56:00,1,Neutered Male,730.0,921,1,199,102,0,5,1,0,3,2,1,-1,1,1,2,49,5,1,341,12,3,2013,11,56,1,0,0,0
103,104,Skippy,2015-12-04 13:40:00,1,Neutered Male,365.0,1023,0,235,102,1,4,1,1,1,1,12,1,0,1,1,49,4,1,338,12,3,2015,13,40,1,0,0,0
104,105,Baby,2014-01-20 12:21:00,0,Spayed Female,365.0,775,0,155,102,1,0,2,0,0,0,11,-1,1,1,1,4,0,1,20,1,0,2014,12,21,1,0,1,0
105,106,Huck,2014-01-05 15:24:00,1,Neutered Male,365.0,1023,0,235,102,1,4,1,1,1,1,5,-1,1,1,1,1,6,1,5,1,0,2014,15,24,1,0,0,0
106,107,Moondog,2014-09-01 17:37:00,1,Neutered Male,1095.0,1171,0,256,37,0,2,1,1,1,3,1,-1,1,1,2,36,0,1,244,9,2,2014,17,37,1,0,0,0
107,108,Augie,2015-12-19 15:41:00,1,Intact Female,1095.0,1661,0,407,102,0,1,1,1,1,1,0,5,0,1,2,51,5,1,353,12,3,2015,15,41,1,0,1,1
108,109,Ivy,2014-09-23 18:19:00,0,Spayed Female,30.0,1514,1,345,102,0,0,2,0,0,0,14,-1,0,1,0,39,1,1,266,9,2,2014,18,19,1,0,1,0
109,110,Remy,2014-12-24 11:58:00,0,Spayed Female,1095.0,1463,0,326,102,0,0,2,0,0,0,3,-1,1,1,2,52,2,1,358,12,3,2014,11,58,1,10,1,0
110,111,Che,2015-11-15 16:08:00,1,Spayed Female,1460.0,208,0,40,102,0,2,1,2,2,1,0,5,0,1,3,46,6,1,319,11,2,2015,16,8,1,0,1,0
111,112,Chico,2015-04-19 15:33:00,1,Neutered Male,365.0,1293,0,299,102,1,0,1,1,1,0,0,1,0,1,1,16,6,1,109,4,1,2015,15,33,1,0,0,0
112,113,Romen,2016-01-26 12:13:00,1,Neutered Male,2920.0,644,0,122,131,0,2,1,2,2,2,4,-1,1,1,4,4,1,1,26,1,0,2016,12,13,1,0,0,0
113,114,London,2015-11-24 13:45:00,1,Neutered Male,1095.0,841,0,187,102,1,4,1,2,2,1,1,-1,1,1,2,48,1,1,328,11,2,2015,13,45,1,0,0,0
114,115,,2015-08-20 09:00:00,0,Intact Female,240.0,775,0,155,102,1,0,2,0,0,0,3,1,0,0,1,34,3,1,232,8,2,2015,9,0,0,0,1,1
115,116,Loco,2015-08-30 12:03:00,1,Neutered Male,240.0,553,0,115,102,1,0,2,0,0,0,6,-1,1,1,1,35,6,1,242,8,2,2015,12,3,1,0,0,0
116,117,Goldie,2015-02-14 17:13:00,1,Spayed Female,300.0,137,0,30,102,0,0,1,0,0,0,4,-1,1,1,1,7,5,1,45,2,0,2015,17,13,1,0,1,0
117,118,Chunk,2014-07-23 13:16:00,1,Intact Male,1825.0,377,1,76,102,0,3,1,1,1,1,0,1,0,1,3,30,2,1,204,7,1,2014,13,16,1,0,0,1
118,119,Randee,2013-10-31 11:43:00,1,Neutered Male,4745.0,1262,1,288,102,0,2,0,2,2,3,12,4,0,1,5,44,3,1,304,10,2,2013,11,43,1,0,0,0
119,120,,2015-02-03 17:14:00,0,Neutered Male,730.0,772,0,153,102,1,0,2,0,0,0,3,-1,1,0,2,6,1,1,34,2,0,2015,17,14,1,0,0,0
120,121,Louisa,2015-06-24 12:23:00,0,Spayed Female,60.0,775,0,155,102,1,0,2,0,0,0,14,-1,1,1,0,26,2,1,175,6,1,2015,12,23,1,0,1,0
121,122,Newton,2014-03-01 15:17:00,0,Neutered Male,60.0,772,0,153,102,1,0,2,0,0,0,0,-1,0,1,0,9,5,1,60,3,0,2014,15,17,1,0,0,0
122,123,Huckleberry,2015-05-25 17:23:00,0,Neutered Male,60.0,775,0,155,102,1,0,2,0,0,0,3,-1,1,1,0,22,0,1,145,5,1,2015,17,23,1,0,0,0
123,124,,2015-06-29 16:38:00,0,Unknown,7.0,775,0,155,102,1,0,2,0,0,0,8,-1,0,0,0,27,0,1,180,6,1,2015,16,38,1,0,2,2
124,125,,2014-01-16 17:50:00,1,Intact Male,28.0,853,0,186,30,0,4,1,2,2,1,20,-1,1,0,0,3,3,1,16,1,0,2014,17,50,1,0,0,1
125,126,Sammy,2015-04-25 17:54:00,1,Neutered Male,30.0,1059,0,234,76,0,4,1,1,1,1,20,1,0,1,0,17,5,1,115,4,1,2015,17,54,1,0,0,0
126,127,,2014-07-17 09:00:00,0,Neutered Male,2190.0,775,0,155,102,1,0,2,0,0,0,0,-1,0,0,3,29,3,1,198,7,1,2014,9,0,0,0,0,0
127,128,Phoebe,2015-01-17 11:13:00,0,Spayed Female,120.0,775,0,155,102,1,0,2,0,0,0,0,1,0,1,0,3,5,1,17,1,0,2015,11,13,1,0,1,0
128,129,Rooster,2014-07-01 18:59:00,0,Neutered Male,60.0,775,0,155,102,1,0,2,0,0,0,8,-1,0,1,0,27,1,1,182,7,1,2014,18,59,1,0,0,0
129,130,Nigel,2014-10-13 19:02:00,0,Neutered Male,60.0,775,0,155,102,1,0,2,0,0,0,3,-1,1,1,0,42,0,1,286,10,2,2014,19,2,1,0,0,0
130,131,Dylan,2015-04-13 17:22:00,1,Neutered Male,730.0,155,0,32,102,0,3,1,1,1,1,13,-1,1,1,2,16,0,1,103,4,1,2015,17,22,1,0,0,0
131,132,Amos,2015-07-20 18:20:00,0,Neutered Male,60.0,775,0,155,102,1,0,2,0,0,0,0,-1,0,1,0,30,0,1,201,7,1,2015,18,20,1,0,0,0
132,133,,2014-05-14 14:03:00,0,Neutered Male,60.0,775,0,155,102,1,0,2,0,0,0,2,-1,0,0,0,20,2,1,134,5,1,2014,14,3,1,0,0,0
133,134,Pearl,2015-05-28 11:24:00,1,Spayed Female,730.0,552,1,114,102,0,0,2,0,0,0,13,-1,1,1,2,22,3,1,148,5,1,2015,11,24,1,0,1,0
134,135,Sierra,2014-12-13 13:50:00,0,Spayed Female,2920.0,775,0,155,102,1,0,2,0,0,0,3,-1,0,1,4,50,5,1,347,12,3,2014,13,50,1,0,1,0
135,136,Rajah,2014-11-05 18:33:00,1,Spayed Female,730.0,1520,0,348,102,0,4,0,0,0,2,6,1,0,1,2,45,2,1,309,11,2,2014,18,33,1,0,1,0
136,137,Timmy,2014-04-13 13:14:00,0,Neutered Male,1460.0,775,0,155,102,1,0,2,0,0,0,3,1,0,1,3,15,6,1,103,4,1,2014,13,14,1,0,0,0
137,138,,2014-07-20 15:38:00,0,Unknown,7.0,775,0,155,102,1,0,2,0,0,0,5,-1,1,0,0,29,6,1,201,7,1,2014,15,38,1,0,2,2
138,139,Priscilla,2015-05-02 13:00:00,1,Spayed Female,2920.0,1034,0,234,16,0,4,1,1,1,1,0,1,0,1,4,18,5,1,122,5,1,2015,13,0,1,0,1,0
139,140,Jimmy,2015-12-27 00:00:00,1,Neutered Male,730.0,1287,0,295,102,0,3,1,0,0,1,0,1,0,1,2,52,6,1,361,12,3,2015,0,0,0,10,0,0
140,141,Wanda,2015-10-30 16:31:00,1,Spayed Female,300.0,553,0,115,102,1,0,2,0,0,0,0,-1,1,1,1,44,4,1,303,10,2,2015,16,31,1,0,1,0
141,142,Wynnie,2015-08-25 15:03:00,0,Intact Female,30.0,775,0,155,102,1,0,2,0,0,0,0,1,0,1,0,35,1,1,237,8,2,2015,15,3,1,0,1,1
142,143,Riley,2014-07-23 13:07:00,1,Spayed Female,2190.0,497,0,106,102,0,4,1,2,2,1,0,-1,0,1,3,30,2,1,204,7,1,2014,13,7,1,0,1,0
143,144,Jessica,2015-07-06 14:55:00,1,Spayed Female,2920.0,1482,0,340,102,0,3,1,1,1,3,5,-1,1,1,4,28,0,1,187,7,1,2015,14,55,1,0,1,0
144,145,Diesel,2015-02-12 11:01:00,1,Spayed Female,365.0,1293,0,299,102,1,0,1,1,1,0,0,1,0,1,1,7,3,1,43,2,0,2015,11,1,1,0,1,0
145,146,Molly,2015-10-27 13:30:00,1,Spayed Female,1825.0,1293,0,299,102,1,0,1,1,1,0,5,1,0,1,3,44,1,1,300,10,2,2015,13,30,1,0,1,0
146,147,Toby,2014-08-12 09:28:00,0,Neutered Male,2190.0,1545,0,356,102,0,0,2,0,0,0,24,-1,0,1,3,33,1,1,224,8,2,2014,9,28,0,0,0,0
147,148,Maximillion,2014-11-12 18:37:00,1,Neutered Male,2555.0,1155,0,255,102,0,2,1,0,0,1,5,0,0,1,4,46,2,1,316,11,2,2014,18,37,1,0,0,0
