AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,IsPureBreed,Breed1,Breed2,IsPopularBreed,Color1,Color2,HasName,AgeGroup,WeekDay,Month,Quarter,Year,ExitHour,ExitMinute,IsOpen,Holiday,Sex,Fertile
A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,,1,Neutered Male,1825.0,Collie Smooth/German Shepherd,0,126,76,0,0,0,1,3,4,11,2,2013,13,24,1,0,0,0
A699723,Delgado,2015-04-11 16:01:00,Transfer,Partner,1,Neutered Male,1095.0,Chihuahua Shorthair Mix,0,115,102,1,0,-1,1,2,5,4,1,2015,16,1,1,0,0,0
A668626,,2013-12-06 14:55:00,Euthanasia,Suffering,1,Intact Male,1095.0,Labrador Retriever Mix,0,235,102,1,0,-1,0,2,4,12,3,2013,14,55,1,0,0,1
A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,,1,Neutered Male,1095.0,Pit Bull Mix,0,299,102,1,0,0,1,2,3,10,2,2013,11,22,1,0,0,0
A682413,,2014-07-02 13:37:00,Transfer,Partner,0,Intact Male,60.0,Domestic Shorthair Mix,0,155,102,1,0,0,0,0,2,7,1,2014,13,37,1,0,0,1
A702655,Mica,2015-08-11 00:00:00,Transfer,Partner,0,Neutered Male,120.0,Domestic Shorthair Mix,0,155,102,1,0,0,1,0,1,8,2,2015,0,0,0,0,0,0
A707503,,2015-07-14 12:16:00,Transfer,Partner,0,Intact Male,21.0,Domestic Shorthair Mix,0,155,102,1,2,-1,0,0,1,7,1,2015,12,16,1,0,0,1
A697199,Pilar,2015-04-04 17:26:00,Adoption,,0,Spayed Female,2555.0,Domestic Shorthair Mix,0,155,102,1,1,-1,1,4,5,4,1,2015,17,26,1,0,1,0
A705598,,2015-06-23 13:25:00,Transfer,Partner,0,Intact Male,60.0,Domestic Shorthair Mix,0,155,102,1,3,-1,0,0,1,6,1,2015,13,25,1,0,0,1
A668388,Lucy,2013-12-09 15:04:00,Transfer,Partner,0,Intact Female,60.0,Domestic Shorthair Mix,0,155,102,1,2,-1,1,0,0,12,3,2013,15,4,1,0,1,1
A671181,,2014-01-21 15:15:00,Transfer,SCRP,0,Intact Male,1460.0,Domestic Longhair Mix,0,151,102,1,0,0,0,3,1,1,0,2014,15,15,1,0,0,1
A676766,Ali,2014-05-28 15:52:00,Adoption,,0,Neutered Male,730.0,Domestic Shorthair Mix,0,155,102,1,0,0,1,2,2,5,1,2014,15,52,1,0,0,0
A686716,Chester,2014-08-27 07:50:00,Return_to_owner,,1,Neutered Male,4380.0,Beagle,1,39,102,0,0,-1,1,5,2,8,2,2014,7,50,0,7,0,0
A684475,Daisy,2014-08-05 11:15:00,Return_to_owner,,0,Spayed Female,3285.0,Domestic Shorthair Mix,0,155,102,1,0,0,1,4,1,8,2,2014,11,15,1,0,1,0
A701804,,2015-05-05 11:46:00,Transfer,Partner,0,Intact Female,21.0,Domestic Shorthair Mix,0,155,102,1,0,-1,0,0,1,5,1,2015,11,46,1,0,1,1
A697852,Edith,2015-03-09 17:57:00,Adoption,,1,Spayed Female,150.0,German Shepherd Mix,0,187,102,1,0,0,1,0,0,3,0,2015,17,57,1,0,1,0
A666092,,2013-10-30 15:37:00,Euthanasia,Aggressive,1,Intact Male,2190.0,Pit Bull/Labrador Retriever,0,298,92,0,0,0,0,3,2,10,2,2013,15,37,1,0,0,1
A684050,,2014-07-28 09:00:00,Transfer,SCRP,0,Intact Female,365.0,Domestic Shorthair Mix,0,155,102,1,0,-1,0,1,0,7,1,2014,9,0,0,0,1,1
A710107,Caty,2015-10-19 18:58:00,Adoption,,0,Spayed Female,90.0,Domestic Shorthair Mix,0,155,102,1,2,-1,1,0,0,10,2,2015,18,58,1,0,1,0
A682347,,2014-06-26 17:16:00,Transfer,Partner,0,Intact Female,21.0,Domestic Shorthair Mix,0,155,102,1,1,0,0,0,3,6,1,2014,17,16,1,0,1,1
A701627,Gabe,2015-05-14 12:07:00,Adoption,,1,Neutered Male,730.0,Blue Lacy Mix,0,64,102,0,0,0,1,2,3,5,1,2015,12,7,1,0,0,0
A690902,Beth,2014-11-18 16:05:00,Adoption,,0,Spayed Female,60.0,Domestic Shorthair Mix,0,155,102,1,3,0,1,0,1,11,2,2014,16,5,1,0,1,0
A712979,,2015-10-04 15:02:00,Transfer,Partner,0,Intact Male,7.0,Domestic Shorthair Mix,0,155,102,1,0,-1,0,0,6,10,2,2015,15,2,1,0,0,1
A707687,Bashful,2015-08-16 13:52:00,Adoption,,0,Spayed Female,60.0,Domestic Shorthair Mix,0,155,102,1,0,-1,1,0,6,8,2,2015,13,52,1,0,1,0
A683443,,2014-07-18 16:23:00,Transfer,Partner,1,Intact Male,365.0,Chihuahua Shorthair Mix,0,115,102,1,0,-1,0,1,4,7,1,2014,16,23,1,0,0,1
A597644,Lola,2014-09-16 14:05:00,Return_to_owner,,1,Spayed Female,1460.0,Black Mouth Cur Mix,0,60,102,0,0,0,1,3,1,9,2,2014,14,5,1,0,1,0
A682784,Sugar,2014-07-07 12:38:00,Adoption,,1,Neutered Male,730.0,Dachshund/Beagle,0,132,17,0,0,0,1,2,0,7,1,2014,12,38,1,0,0,0
A709863,Orangejello,2015-08-19 13:32:00,Transfer,Partner,0,Intact Male,365.0,Domestic Shorthair Mix,0,155,102,1,3,0,1,1,2,8,2,2015,13,32,1,0,0,1
A678506,Prec Punkin',2014-05-09 18:07:00,Euthanasia,Suffering,1,Spayed Female,4015.0,Yorkshire Terrier Mix,0,407,102,0,0,0,1,5,4,5,1,2014,18,7,1,0,1,0
A713029,Wilma,2015-10-06 15:07:00,Transfer,Partner,0,Intact Female,30.0,Domestic Shorthair Mix,0,155,102,1,0,-1,1,0,1,10,2,2015,15,7,1,0,1,1
A712236,Bella,2015-09-23 11:45:00,Adoption,,1,Spayed Female,730.0,Dachshund Mix,0,135,102,1,0,0,1,2,2,9,2,2015,11,45,1,0,1,0
A683961,,2014-07-17 17:31:00,Transfer,Partner,0,Unknown,14.0,Domestic Shorthair Mix,0,155,102,1,0,-1,0,0,3,7,1,2014,17,31,1,0,2,2
A714740,Chiquita,2015-10-27 18:32:00,Return_to_owner,,1,Spayed Female,2190.0,Maltese Mix,0,246,102,0,0,-1,1,3,1,10,2,2015,18,32,1,0,1,0
A691847,Hero,2014-12-08 15:53:00,Transfer,Partner,1,Neutered Male,180.0,Pointer Mix,0,305,102,0,0,0,1,0,0,12,3,2014,15,53,1,0,0,0
A711392,Molly,2015-09-08 15:31:00,Transfer,Partner,1,Intact Female,60.0,English Foxhound,1,164,102,0,0,-1,1,0,1,9,2,2015,15,31,1,0,1,1
A705258,,2015-06-16 09:00:00,Transfer,SCRP,0,Unknown,60.0,Domestic Shorthair Mix,0,155,102,1,2,0,0,0,1,6,1,2015,9,0,0,0,2,2
A678172,Bella,2014-05-10 18:18:00,Adoption,,1,Spayed Female,365.0,Chihuahua Shorthair Mix,0,115,102,1,0,-1,1,1,5,5,1,2014,18,18,1,4,1,0
A676736,Chili,2014-04-30 17:55:00,Adoption,,1,Neutered Male,60.0,Vizsla Mix,0,392,102,0,0,-1,1,0,2,4,1,2014,17,55,1,0,0,0
A701575,Hastings,2016-01-29 14:53:00,Transfer,Partner,1,Neutered Male,730.0,Pit Bull Mix,0,299,102,1,2,0,1,2,4,1,0,2016,14,53,1,0,0,0
A674913,,2014-03-25 18:15:00,Adoption,,1,Spayed Female,1095.0,German Shepherd/Great Pyrenees,0,186,80,0,0,-1,0,2,1,3,0,2014,18,15,1,0,1,0
A706446,Tootsie,2015-08-18 11:32:00,Return_to_owner,,0,Intact Female,365.0,Domestic Shorthair Mix,0,155,102,1,0,-1,1,1,1,8,2,2015,11,32,1,0,1,1
A669540,Snookie,2013-12-28 16:17:00,Return_to_owner,,1,Spayed Female,1460.0,Yorkshire Terrier Mix,0,407,102,0,0,0,1,3,5,12,3,2013,16,17,1,0,1,0
A709371,Abby,2015-08-19 14:28:00,Transfer,Partner,1,Spayed Female,730.0,Cardigan Welsh Corgi/Chihuahua Shorthair,0,101,46,0,0,-1,1,2,2,8,2,2015,14,28,1,0,1,0
A681410,Nym,2014-06-22 17:22:00,Adoption,,0,Spayed Female,90.0,Domestic Longhair,1,150,102,0,2,-1,1,0,6,6,1,2014,17,22,1,6,1,0
A675021,,2014-03-21 17:09:00,Euthanasia,Suffering,0,Intact Female,365.0,Domestic Shorthair Mix,0,155,102,1,0,-1,0,1,4,3,0,2014,17,9,1,0,1,1
A704179,Zeus,2015-06-07 16:07:00,Adoption,,1,Neutered Male,60.0,Chow Chow/Pit Bull,0,120,114,0,0,-1,1,0,6,6,1,2015,16,7,1,0,0,0
A717839,,2015-12-20 19:38:00,Transfer,SCRP,0,Spayed Female,730.0,Domestic Shorthair Mix,0,155,102,1,0,0,0,2,6,12,3,2015,19,38,1,0,1,0
A700740,Charlie,2015-12-17 12:10:00,Adoption,Foster,1,Neutered Male,365.0,Chihuahua Shorthair,1,114,102,0,0,-1,1,1,3,12,3,2015,12,10,1,0,0,0
A712376,,2015-09-22 12:10:00,Euthanasia,Suffering,0,Unknown,14.0,Domestic Shorthair Mix,0,155,102,1,1,-1,0,0,1,9,2,2015,12,10,1,0,2,2
A703952,Taco,2015-05-30 18:56:00,Transfer,Partner,0,Unknown,28.0,Siamese Mix,0,346,102,1,4,-1,1,0,5,5,1,2015,18,56,1,0,2,2
A713690,,2015-10-12 09:00:00,Transfer,SCRP,0,Intact Male,730.0,Domestic Shorthair Mix,0,155,102,1,1,-1,0,2,0,10,2,2015,9,0,0,0,0,1
A691838,Avaddon,2015-02-09 17:17:00,Euthanasia,Suffering,1,Neutered Male,4380.0,Pit Bull Mix,0,299,102,1,2,-1,1,5,0,2,0,2015,17,17,1,0,0,0
A687789,,2014-09-14 18:51:00,Adoption,,1,Neutered Male,365.0,Dachshund/Beagle,0,132,17,0,0,0,0,1,6,9,2,2014,18,51,1,0,0,0
A704754,Arthur,2015-07-18 15:37:00,Adoption,Foster,0,Neutered Male,60.0,Domestic Shorthair Mix,0,155,102,1,0,-1,1,0,5,7,1,2015,15,37,1,0,0,0
A707531,,2015-07-14 15:04:00,Transfer,Partner,0,Intact Male,14.0,Domestic Shorthair Mix,0,155,102,1,0,-1,0,0,1,7,1,2015,15,4,1,0,0,1
A677594,,2014-04-26 18:00:00,Transfer,Partner,1,Intact Female,90.0,Labrador Retriever Mix,0,235,102,1,0,0,0,0,5,4,1,2014,18,0,1,0,1,1
A667155,,2013-11-18 15:56:00,Adoption,,0,Spayed Female,90.0,Domestic Medium Hair Mix,0,153,102,1,0,-1,0,0,0,11,2,2013,15,56,1,0,1,0
A717147,Freeway,2015-12-15 14:16:00,Adoption,,1,Neutered Male,150.0,Plott Hound Mix,0,302,102,0,2,0,1,0,1,12,3,2015,14,16,1,0,0,0
A687012,Chloe,2016-02-07 14:54:00,Adoption,,1,Spayed Female,1095.0,Boxer/Great Dane,0,76,79,0,0,-1,1,2,6,2,0,2016,14,54,1,0,1,0
A676200,Georgia,2014-04-10 11:49:00,Transfer,Partner,1,Spayed Female,2555.0,Lhasa Apso,1,239,102,0,0,0,1,4,3,4,1,2014,11,49,1,0,1,0
A676680,Hero,2015-02-06 18:56:00,Euthanasia,Aggressive,1,Spayed Female,730.0,German Shepherd Mix,0,187,102,1,0,0,1,2,4,2,0,2015,18,56,1,0,1,0
A688443,Thelma,2014-12-29 15:11:00,Adoption,Foster,0,Spayed Female,120.0,Domestic Shorthair Mix,0,155,102,1,0,-1,1,0,0,12,3,2014,15,11,1,0,1,0
A715261,Darcy,2015-11-15 14:06:00,Adoption,,1,Spayed Female,3285.0,Beagle/Treeing Walker Coonhound,0,39,151,0,0,0,1,4,6,11,2,2015,14,6,1,0,1,0
A717008,Taz,2015-12-06 15:12:00,Transfer,Partner,1,Neutered Male,210.0,Border Collie Mix,0,71,102,1,0,0,1,1,6,12,3,2015,15,12,1,0,0,0
A683416,,2014-07-14 19:28:00,Adoption,,0,Neutered Male,60.0,Domestic Shorthair Mix,0,155,102,1,0,0,0,0,0,7,1,2014,19,28,1,0,0,0
A690658,,2014-10-24 09:00:00,Transfer,SCRP,0,Intact Male,1095.0,Domestic Shorthair Mix,0,155,102,1,0,0,0,2,4,10,2,2014,9,0,0,0,0,1
A695155,,2015-01-14 16:18:00,Adoption,,1,Neutered Male,1095.0,Border Terrier Mix,0,73,102,0,0,-1,0,2,2,1,0,2015,16,18,1,0,0,0
A679721,Poppy,2014-05-29 17:43:00,Adoption,,1,Neutered Male,1825.0,Chihuahua Shorthair Mix,0,115,102,1,0,0,1,3,3,5,1,2014,17,43,1,0,0,0
A719113,Dexter,2016-01-28 12:05:00,Transfer,Partner,1,Neutered Male,1825.0,Boxer Mix,0,77,102,1,2,0,1,3,3,1,0,2016,12,5,1,0,0,0
A665298,,2013-10-16 11:50:00,Transfer,Partner,0,Intact Female,14.0,Domestic Medium Hair Mix,0,153,102,1,0,-1,0,0,2,10,2,2013,11,50,1,0,1,1
A708351,,2015-07-26 14:40:00,Transfer,Partner,0,Unknown,14.0,Domestic Shorthair Mix,0,155,102,1,0,-1,0,0,6,7,1,2015,14,40,1,0,2,2
A670681,Matty,2014-01-30 14:41:00,Transfer,Partner,0,Spayed Female,1460.0,Domestic Shorthair Mix,0,155,102,1,0,-1,1,3,3,1,0,2014,14,41,1,0,1,0
A699990,Chubbs,2015-04-08 18:06:00,Return_to_owner,,1,Neutered Male,1460.0,Cairn Terrier Mix,0,96,102,0,0,0,1,3,2,4,1,2015,18,6,1,0,0,0
A707767,Lilly,2015-07-19 18:27:00,Adoption,,0,Neutered Male,60.0,Domestic Shorthair Mix,0,155,102,1,2,-1,1,0,6,7,1,2015,18,27,1,0,0,0
A668362,Minnie,2013-12-20 12:02:00,Return_to_owner,,1,Spayed Female,730.0,Chihuahua Shorthair Mix,0,115,102,1,0,0,1,2,4,12,3,2013,12,2,1,0,1,0
A674577,Santiago,2014-03-23 18:43:00,Adoption,,1,Neutered Male,730.0,Dogo Argentino Mix,0,147,102,0,0,-1,1,2,6,3,0,2014,18,43,1,0,0,0
A674802,Franklin,2014-03-29 11:26:00,Return_to_owner,,1,Neutered Male,3285.0,Dachshund Mix,0,135,102,1,0,0,1,4,5,3,0,2014,11,26,1,0,0,0
A672410,Myles,2014-02-11 18:16:00,Return_to_owner,,1,Neutered Male,1825.0,Beagle Mix,0,40,102,0,0,-1,1,3,1,2,0,2014,18,16,1,0,0,0
A657753,Wiz,2013-12-06 16:53:00,Euthanasia,Aggressive,1,Neutered Male,365.0,Chihuahua Shorthair/Dachshund,0,114,54,0,5,0,1,1,4,12,3,2013,16,53,1,0,0,0
A663339,Abby,2013-10-20 16:37:00,Adoption,,1,Spayed Female,730.0,Pit Bull Mix,0,299,102,1,0,0,1,2,6,10,2,2013,16,37,1,0,1,0
A678229,,2014-05-06 15:59:00,Transfer,Partner,0,Intact Male,21.0,Domestic Shorthair Mix,0,155,102,1,2,-1,0,0,1,5,1,2014,15,59,1,0,0,1
A698694,Boss,2015-07-06 15:48:00,Transfer,Partner,1,Intact Male,150.0,Pit Bull Mix,0,299,102,1,0,0,1,0,0,7,1,2015,15,48,1,0,0,1
A695971,,2015-01-26 16:23:00,Euthanasia,Suffering,0,Intact Male,2190.0,Domestic Shorthair Mix,0,155,102,1,3,-1,0,3,0,1,0,2015,16,23,1,0,0,1
A674233,Missy,2014-03-22 15:38:00,Adoption,,1,Spayed Female,365.0,Chihuahua Shorthair Mix,0,115,102,1,0,-1,1,1,5,3,0,2014,15,38,1,0,1,0
A713392,Basil,2015-11-05 00:00:00,Transfer,Partner,1,Intact Male,90.0,Chihuahua Shorthair Mix,0,115,102,1,0,0,1,0,3,11,2,2015,0,0,0,0,0,1
A713968,Katydid,2015-10-24 18:29:00,Transfer,Partner,0,Intact Female,30.0,Domestic Longhair Mix,0,151,102,1,0,-1,1,0,5,10,2,2015,18,29,1,0,1,1
A701428,Kiki,2015-05-03 16:59:00,Return_to_owner,,1,Spayed Female,1095.0,Chihuahua Shorthair Mix,0,115,102,1,0,-1,1,2,6,5,1,2015,16,59,1,0,1,0
A676146,Desmo,2014-04-14 17:00:00,Return_to_owner,,1,Neutered Male,1825.0,Dachshund Mix,0,135,102,1,0,-1,1,3,0,4,1,2014,17,0,1,0,0,0
A679259,Pablo,2014-05-26 11:22:00,Adoption,,1,Neutered Male,2920.0,Miniature Schnauzer/Miniature Poodle,0,258,100,0,0,-1,1,4,0,5,1,2014,11,22,1,0,0,0
A688223,,2014-09-21 14:15:00,Adoption,Offsite,1,Spayed Female,60.0,Labrador Retriever Mix,0,235,102,1,0,0,0,0,6,9,2,2014,14,15,1,0,1,0
A691968,,2014-11-14 11:57:00,Euthanasia,Suffering,0,Intact Female,2555.0,Domestic Shorthair Mix,0,155,102,1,0,-1,0,4,4,11,2,2014,11,57,1,0,1,1
A688871,Pandora,2014-10-03 18:43:00,Adoption,,0,Intact Female,60.0,Domestic Shorthair Mix,0,155,102,1,0,-1,1,0,4,10,2,2014,18,43,1,0,1,1
A674530,Jackson,2014-09-11 17:03:00,Adoption,,1,Neutered Male,1825.0,Pit Bull,1,298,102,0,0,-1,1,3,3,9,2,2014,17,3,1,0,0,0
A718604,Watson,2016-01-31 17:22:00,Adoption,,1,Neutered Male,365.0,Pit Bull Mix,0,299,102,1,0,0,1,1,6,1,0,2016,17,22,1,0,0,0
A686520,,2014-08-24 09:00:00,Transfer,SCRP,0,Intact Male,90.0,Domestic Shorthair Mix,0,155,102,1,2,-1,0,0,6,8,2,2014,9,0,0,0,0,1
A699094,Levon,2015-03-22 18:40:00,Return_to_owner,,1,Neutered Male,730.0,Chihuahua Shorthair Mix,0,115,102,1,0,0,1,2,6,3,0,2015,18,40,1,0,0,0
A394547,Snickerdoodl,2015-01-25 11:15:00,Return_to_owner,,1,Spayed Female,3285.0,Labrador Retriever Mix,0,235,102,1,0,0,1,4,6,1,0,2015,11,15,1,0,1,0
A662685,Lola,2015-10-22 17:18:00,Adoption,,1,Spayed Female,1095.0,Pit Bull Mix,0,299,102,1,0,0,1,2,3,10,2,2015,17,18,1,0,1,0
A713977,Jumbly,2015-10-26 18:39:00,Return_to_owner,,0,Spayed Female,1095.0,Domestic Shorthair Mix,0,155,102,1,0,-1,1,2,0,10,2,2015,18,39,1,0,1,0
A707781,Pearl,2016-01-15 14:03:00,Adoption,,1,Spayed Female,365.0,Chihuahua Shorthair/Jack Russell Terrier,0,114,89,0,0,0,1,1,4,1,0,2016,14,3,1,0,1,0
A694699,Pebbles,2015-01-09 15:28:00,Transfer,Partner,1,Spayed Female,730.0,Chihuahua Shorthair Mix,0,115,102,1,0,0,1,2,4,1,0,2015,15,28,1,0,1,0
A696350,Minnie,2015-12-15 17:30:00,Return_to_owner,,1,Spayed Female,365.0,Pit Bull,1,298,102,0,2,-1,1,1,1,12,3,2015,17,30,1,0,1,0
A679102,Merlin,2014-06-10 16:41:00,Transfer,Partner,0,Neutered Male,730.0,Siamese Mix,0,346,102,1,6,-1,1,2,1,6,1,2014,16,41,1,0,0,0
A698341,Parsley,2015-05-16 15:19:00,Return_to_owner,,1,Spayed Female,730.0,Tibetan Terrier Mix,0,378,102,0,0,-1,1,2,5,5,1,2015,15,19,1,0,1,0
A681481,,2014-06-18 09:00:00,Transfer,SCRP,0,Intact Female,730.0,Domestic Shorthair Mix,0,155,102,1,0,0,0,2,2,6,1,2014,9,0,0,6,1,1
A714177,,2015-10-20 09:00:00,Transfer,SCRP,0,Unknown,90.0,Domestic Shorthair Mix,0,155,102,1,0,-1,0,0,1,10,2,2015,9,0,0,0,2,2
A689601,Abby,2014-11-23 18:55:00,Adoption,Foster,1,Spayed Female,30.0,Miniature Pinscher/Chihuahua Shorthair,0,254,46,0,0,-1,1,0,6,11,2,2014,18,55,1,0,1,0
A685062,,2014-08-05 13:20:00,Adoption,,0,Neutered Male,60.0,Domestic Shorthair Mix,0,155,102,1,3,0,0,0,1,8,2,2014,13,20,1,0,0,0
A672453,,2014-02-16 19:38:00,Adoption,Offsite,0,Neutered Male,300.0,Domestic Medium Hair Mix,0,153,102,1,0,-1,0,1,6,2,0,2014,19,38,1,0,0,0
A719480,Ricky,2016-02-09 16:31:00,Transfer,Partner,0,Spayed Female,730.0,Domestic Medium Hair Mix,0,153,102,1,2,0,1,2,1,2,0,2016,16,31,1,0,1,0
A702880,Tom,2015-06-28 15:33:00,Adoption,,0,Spayed Female,60.0,Domestic Medium Hair Mix,0,153,102,1,0,-1,1,0,6,6,1,2015,15,33,1,0,1,0
A714494,Amarillo,2015-11-01 19:11:00,Adoption,,1,Neutered Male,180.0,Labrador Retriever Mix,0,235,102,1,0,-1,1,0,6,11,2,2015,19,11,1,0,0,0
A711853,Nala,2015-11-07 19:14:00,Adoption,,0,Spayed Female,60.0,Domestic Shorthair Mix,0,155,102,1,2,-1,1,0,5,11,2,2015,19,14,1,0,1,0
A688720,,2014-09-26 18:09:00,Adoption,,1,Spayed Female,365.0,Dachshund Mix,0,135,102,1,0,-1,0,1,4,9,2,2014,18,9,1,0,1,0
A689690,Winnie,2014-10-22 14:37:00,Transfer,Partner,1,Intact Female,180.0,Dachshund Mix,0,135,102,1,0,0,1,0,2,10,2,2014,14,37,1,0,1,1
